Id,Title,Year,Rating,Runtime,Critic.Score,Box.Office
0,The Whole Nine Yards,2000,R,98,45,57.3
1,Gladiator,2000,R,155,76,187.3
2,Cirque du Soleil,2000,G,39,45,13.4
3,Dinosaur,2000,PG,82,65,135.6
4,Big Momma's House,2000,PG-13,99,30,0.5
5,Gone in Sixty Seconds,2000,PG-13,118,24,101.0
6,Shaft,2000,R,99,68,70.3
7,"Me, Myself & Irene",2000,R,116,48,0.6
8,Chicken Run,2000,G,84,97,106.6
9,The Patriot,2000,R,165,62,2.3
10,The Adventures of Rocky & Bullwinkle,2000,PG,92,43,0.4
11,The Kid,2000,PG,104,49,68.5
12,X-Men,2000,PG-13,104,82,156.2
13,What Lies Beneath,2000,PG-13,130,46,155.0
14,Thomas and the Magic Railroad,2000,G,85,19,2.0
15,Nutty Professor II: The Klumps,2000,PG-13,106,26,122.4
16,Hollow Man,2000,R,112,27,72.1
17,Coyote Ugly,2000,PG-13,100,22,59.8
18,Space Cowboys,2000,PG-13,130,78,89.4
19,The Replacements,2000,PG-13,118,40,44.0
20,Bless the Child,2000,R,107,3,28.1
21,The Original Kings of Comedy,2000,R,115,86,37.7
22,The Cell,2000,R,107,45,60.0
23,The Crew,2000,PG-13,88,20,12.5
24,Bring It On,2000,PG-13,98,63,67.9
25,The Art of War,2000,R,117,16,29.5
26,The Tao of Steve,2000,R,87,80,2.6
27,Whipped,2000,R,82,13,3.8
28,Backstage,2000,R,86,31,0.7
29,Turn It Up,2000,R,86,8,0.7
30,The Way of the Gun,2000,R,119,48,5.2
31,Nurse Betty,2000,R,110,84,25.0
32,The Watcher,2000,R,97,10,28.6
33,Duets,2000,R,112,20,4.3
34,Bait,2000,R,119,26,14.9
35,Urban Legends: Final Cut,2000,R,97,9,21.0
36,Woman on Top,2000,R,92,34,4.5
37,Almost Famous,2000,R,122,88,31.7
38,Remember the Titans,2000,PG,113,73,114.3
39,Beautiful,2000,PG-13,112,16,2.8
40,Dancer in the Dark,2000,R,140,68,2.8
41,Meet the Parents,2000,PG-13,108,84,164.5
42,Girlfight,2000,R,110,87,0.8
43,Digimon: The Movie,2000,PG,82,25,9.0
44,Get Carter,2000,R,102,12,14.6
45,Dr. T and the Women,2000,R,122,57,12.1
46,The Contender,2000,R,126,76,16.1
47,Lost Souls,2000,R,97,7,16.4
48,The Ladies Man,2000,R,84,11,13.4
49,Best in Show,2000,PG-13,90,95,16.6
50,Pay It Forward,2000,PG-13,123,40,32.8
51,Bamboozled,2000,R,135,48,1.9
52,Bedazzled,2000,PG-13,93,49,37.0
53,Lucky Numbers,2000,R,105,22,9.5
54,The Little Vampire,2000,PG,95,55,13.4
55,Charlie's Angels,2000,PG-13,98,67,124.4
56,The Legend of Bagger Vance,2000,PG-13,126,43,30.4
57,Red Planet,2000,PG-13,106,14,17.1
58,Little Nicky,2000,PG-13,90,22,38.5
59,Men of Honor,2000,R,129,41,46.2
60,The 6th Day,2000,PG-13,123,41,33.8
