Selviytyi,Matkustusluokka,Sukupuoli,Ika,Hinta,LahtoSatama
0,3,0,22.0,7.25,0.0
1,1,1,38.0,71.28,1.0
1,3,1,26.0,7.93,0.0
1,1,1,35.0,53.1,0.0
0,3,0,35.0,8.05,0.0
0,3,0,,8.46,2.0
0,1,0,54.0,51.86,0.0
0,3,0,2.0,21.08,0.0
1,3,1,27.0,11.13,0.0
1,2,1,14.0,30.07,1.0
1,3,1,4.0,16.7,0.0
1,1,1,58.0,26.55,0.0
0,3,0,20.0,8.05,0.0
0,3,0,39.0,31.28,0.0
0,3,1,14.0,7.85,0.0
1,2,1,55.0,16.0,0.0
0,3,0,2.0,29.13,2.0
1,2,0,,13.0,0.0
0,3,1,31.0,18.0,0.0
1,3,1,,7.23,1.0
0,2,0,35.0,26.0,0.0
1,2,0,34.0,13.0,0.0
1,3,1,15.0,8.03,2.0
1,1,0,28.0,35.5,0.0
0,3,1,8.0,21.08,0.0
1,3,1,38.0,31.39,0.0
0,3,0,,7.23,1.0
0,1,0,19.0,263.0,0.0
1,3,1,,7.88,2.0
0,3,0,,7.9,0.0
0,1,0,40.0,27.72,1.0
1,1,1,,146.52,1.0
1,3,1,,7.75,2.0
0,2,0,66.0,10.5,0.0
0,1,0,28.0,82.17,1.0
0,1,0,42.0,52.0,0.0
1,3,0,,7.23,1.0
0,3,0,21.0,8.05,0.0
0,3,1,18.0,18.0,0.0
1,3,1,14.0,11.24,1.0
0,3,1,40.0,9.48,0.0
0,2,1,27.0,21.0,0.0
0,3,0,,7.9,1.0
1,2,1,3.0,41.58,1.0
1,3,1,19.0,7.88,2.0
0,3,0,,8.05,0.0
0,3,0,,15.5,2.0
1,3,1,,7.75,2.0
0,3,0,,21.68,1.0
0,3,1,18.0,17.8,0.0
0,3,0,7.0,39.69,0.0
0,3,0,21.0,7.8,0.0
1,1,1,49.0,76.73,1.0
1,2,1,29.0,26.0,0.0
0,1,0,65.0,61.98,1.0
1,1,0,,35.5,0.0
1,2,1,21.0,10.5,0.0
0,3,0,28.5,7.23,1.0
1,2,1,5.0,27.75,0.0
0,3,0,11.0,46.9,0.0
0,3,0,22.0,7.23,1.0
1,1,1,38.0,80.0,
0,1,0,45.0,83.48,0.0
0,3,0,4.0,27.9,0.0
0,1,0,,27.72,1.0
1,3,0,,15.25,1.0
1,2,1,29.0,10.5,0.0
0,3,0,19.0,8.16,0.0
1,3,1,17.0,7.93,0.0
0,3,0,26.0,8.66,0.0
0,2,0,32.0,10.5,0.0
0,3,1,16.0,46.9,0.0
0,2,0,21.0,73.5,0.0
0,3,0,26.0,14.45,1.0
1,3,0,32.0,56.5,0.0
0,3,0,25.0,7.65,0.0
0,3,0,,7.9,0.0
0,3,0,,8.05,0.0
1,2,0,0.83,29.0,0.0
1,3,1,30.0,12.48,0.0
0,3,0,22.0,9.0,0.0
1,3,0,29.0,9.5,0.0
1,3,1,,7.79,2.0
0,1,0,28.0,47.1,0.0
1,2,1,17.0,10.5,0.0
1,3,1,33.0,15.85,0.0
0,3,0,16.0,34.38,0.0
0,3,0,,8.05,0.0
1,1,1,23.0,263.0,0.0
0,3,0,24.0,8.05,0.0
0,3,0,29.0,8.05,0.0
0,3,0,20.0,7.85,0.0
0,1,0,46.0,61.18,0.0
0,3,0,26.0,20.58,0.0
0,3,0,59.0,7.25,0.0
0,3,0,,8.05,0.0
0,1,0,71.0,34.65,1.0
1,1,0,23.0,63.36,1.0
1,2,1,34.0,23.0,0.0
0,2,0,34.0,26.0,0.0
0,3,1,28.0,7.9,0.0
0,3,0,,7.9,0.0
0,1,0,21.0,77.29,0.0
0,3,0,33.0,8.65,0.0
0,3,0,37.0,7.93,0.0
0,3,0,28.0,7.9,0.0
1,3,1,21.0,7.65,0.0
1,3,0,,7.78,0.0
0,3,0,38.0,7.9,0.0
1,3,1,,24.15,2.0
0,1,0,47.0,52.0,0.0
0,3,1,14.5,14.45,1.0
0,3,0,22.0,8.05,0.0
0,3,1,20.0,9.83,0.0
0,3,1,17.0,14.46,1.0
0,3,0,21.0,7.93,0.0
0,3,0,70.5,7.75,2.0
0,2,0,29.0,21.0,0.0
0,1,0,24.0,247.52,1.0
0,3,1,2.0,31.28,0.0
0,2,0,21.0,73.5,0.0
0,3,0,,8.05,0.0
0,2,0,32.5,30.07,1.0
1,2,1,32.5,13.0,0.0
0,1,0,54.0,77.29,0.0
1,3,0,12.0,11.24,1.0
0,3,0,,7.75,2.0
1,3,0,24.0,7.14,0.0
1,3,1,,22.36,1.0
0,3,0,45.0,6.98,0.0
0,3,0,33.0,7.9,1.0
0,3,0,20.0,7.05,0.0
0,3,1,47.0,14.5,0.0
1,2,1,29.0,26.0,0.0
0,2,0,25.0,13.0,0.0
0,2,0,23.0,15.05,1.0
1,1,1,19.0,26.28,0.0
0,1,0,37.0,53.1,0.0
0,3,0,16.0,9.22,0.0
0,1,0,24.0,79.2,1.0
0,3,1,,15.25,1.0
1,3,1,22.0,7.75,0.0
1,3,1,24.0,15.85,0.0
0,3,0,19.0,6.75,2.0
0,2,0,18.0,11.5,0.0
0,2,0,19.0,36.75,0.0
1,3,0,27.0,7.8,0.0
0,3,1,9.0,34.38,0.0
0,2,0,36.5,26.0,0.0
0,2,0,42.0,13.0,0.0
0,2,0,51.0,12.53,0.0
1,1,1,22.0,66.6,0.0
0,3,0,55.5,8.05,0.0
0,3,0,40.5,14.5,0.0
0,3,0,,7.31,0.0
0,1,0,51.0,61.38,1.0
1,3,1,16.0,7.73,2.0
0,3,0,30.0,8.05,0.0
0,3,0,,8.66,0.0
0,3,0,,69.55,0.0
0,3,0,44.0,16.1,0.0
1,2,1,40.0,15.75,0.0
0,3,0,26.0,7.78,0.0
0,3,0,17.0,8.66,0.0
0,3,0,1.0,39.69,0.0
